"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260101","3호선","약수","5570","5282","20260104",""
"20260101","7호선","상도","4448","4551","20260104",""
"20260101","6호선","석계","5012","5412","20260104",""
"20260101","1호선","종각","18034","15057","20260104",""
"20260101","1호선","종로3가","12928","10877","20260104",""
"20260101","1호선","종로5가","12019","10808","20260104",""
"20260101","1호선","동대문","8952","8226","20260104",""
"20260101","1호선","신설동","6155","6081","20260104",""
"20260101","1호선","제기동","7233","7522","20260104",""
"20260101","1호선","청량리(서울시립대입구)","12048","12032","20260104",""
"20260101","1호선","동묘앞","7081","7116","20260104",""
"20260101","2호선","시청","9379","6334","20260104",""
"20260101","2호선","을지로입구","26241","26104","20260104",""
"20260101","2호선","을지로3가","11349","11379","20260104",""
"20260101","2호선","을지로4가","6520","6410","20260104",""
"20260101","2호선","동대문역사문화공원(DDP)","10935","12423","20260104",""
"20260101","2호선","신당","7210","7851","20260104",""
"20260101","2호선","상왕십리","5951","6196","20260104",""
"20260101","2호선","왕십리(성동구청)","8076","7969","20260104",""
"20260101","2호선","한양대","2290","2571","20260104",""
"20260101","2호선","뚝섬","9260","9210","20260104",""
"20260101","2호선","성수","32549","33776","20260104",""
"20260101","2호선","건대입구","26293","24781","20260104",""
"20260101","2호선","구의(광진구청)","13082","13000","20260104",""
"20260101","2호선","강변(동서울터미널)","14798","13503","20260104",""
"20260101","2호선","잠실나루","4311","4318","20260104",""
"20260101","2호선","잠실(송파구청)","52139","46767","20260104",""
"20260101","2호선","잠실새내","10754","10521","20260104",""
"20260101","2호선","종합운동장","4696","4843","20260104",""
"20260101","2호선","삼성(무역센터)","25347","22677","20260104",""
"20260101","2호선","선릉","12388","10663","20260104",""
"20260101","2호선","역삼","9785","10167","20260104",""
"20260101","2호선","강남","25884","24776","20260104",""
"20260101","2호선","교대(법원.검찰청)","7301","8613","20260104",""
"20260101","2호선","서초","4940","4408","20260104",""
"20260101","2호선","방배","4432","4736","20260104",""
"20260101","2호선","사당","18057","18519","20260104",""
"20260101","2호선","낙성대(강감찬)","12224","12748","20260104",""
"20260101","2호선","서울대입구(관악구청)","20681","20919","20260104",""
"20260101","2호선","봉천","10437","10595","20260104",""
"20260101","2호선","신림","29920","30130","20260104",""
"20260101","6호선","응암","7637","8175","20260104",""
"20260101","2호선","신대방","11492","11880","20260104",""
"20260101","2호선","구로디지털단지","20417","20868","20260104",""
"20260101","2호선","대림(구로구청)","12477","13138","20260104",""
"20260101","2호선","신도림","19245","19935","20260104",""
"20260101","2호선","문래","7026","7268","20260104",""
"20260101","2호선","영등포구청","7068","7173","20260104",""
"20260101","2호선","당산","6698","7468","20260104",""
"20260101","2호선","합정","18531","17270","20260104",""
"20260101","2호선","홍대입구","64297","60044","20260104",""
"20260101","2호선","신촌","19986","18638","20260104",""
"20260101","2호선","이대","6945","7716","20260104",""
"20260101","2호선","아현","4486","4444","20260104",""
"20260101","2호선","충정로(경기대입구)","3150","3326","20260104",""
"20260101","2호선","용답","1347","1443","20260104",""
"20260101","2호선","신답","625","697","20260104",""
"20260101","2호선","신설동","1915","1782","20260104",""
"20260101","2호선","도림천","1558","1757","20260104",""
"20260101","2호선","양천구청","2337","2549","20260104",""
"20260101","2호선","신정네거리","3963","4245","20260104",""
"20260101","2호선","용두(동대문구청)","868","885","20260104",""
"20260101","3호선","지축","2893","2819","20260104",""
"20260101","3호선","구파발","10783","11284","20260104",""
"20260101","3호선","연신내","17979","17272","20260104",""
"20260101","3호선","불광","7662","8392","20260104",""
"20260101","3호선","녹번","5624","5296","20260104",""
"20260101","3호선","홍제","7579","7575","20260104",""
"20260101","3호선","무악재","1782","2007","20260104",""
"20260101","3호선","독립문","3484","3758","20260104",""
"20260101","3호선","경복궁(정부서울청사)","13468","14229","20260104",""
"20260101","3호선","안국","13439","13310","20260104",""
"20260101","3호선","종로3가","4837","5455","20260104",""
"20260101","3호선","을지로3가","6079","4775","20260104",""
"20260101","3호선","충무로","1","0","20260104",""
"20260101","3호선","동대입구","5263","6234","20260104",""
"20260101","3호선","금호","3342","3180","20260104",""
"20260101","3호선","옥수","4206","4371","20260104",""
"20260101","3호선","압구정","9698","10430","20260104",""
"20260101","3호선","신사","8617","8307","20260104",""
"20260101","3호선","잠원","2619","2634","20260104",""
"20260101","3호선","고속터미널","28124","26845","20260104",""
"20260101","3호선","교대(법원.검찰청)","3825","2046","20260104",""
"20260101","3호선","남부터미널(예술의전당)","10628","10539","20260104",""
"20260101","3호선","양재(서초구청)","9233","9143","20260104",""
"20260101","3호선","매봉","3225","3327","20260104",""
"20260101","3호선","도곡","1705","1737","20260104",""
"20260101","3호선","대치","4665","4265","20260104",""
"20260101","3호선","학여울","552","572","20260104",""
"20260101","3호선","대청","3623","3628","20260104",""
"20260101","3호선","일원","3166","3339","20260104",""
"20260101","3호선","수서","8496","8194","20260104",""
"20260101","3호선","가락시장","3169","3060","20260104",""
"20260101","3호선","경찰병원","2294","2417","20260104",""
"20260101","3호선","오금","1937","1877","20260104",""
"20260101","4호선","불암산","4607","4251","20260104",""
"20260101","4호선","상계","8529","8202","20260104",""
"20260101","4호선","노원","10999","11634","20260104",""
"20260101","4호선","창동","12232","13063","20260104",""
"20260101","4호선","쌍문","12318","11875","20260104",""
"20260101","4호선","수유(강북구청)","17307","17478","20260104",""
"20260101","4호선","미아(서울사이버대학)","6975","6709","20260104",""
"20260101","4호선","미아사거리","11650","11744","20260104",""
"20260101","4호선","길음","8340","8427","20260104",""
"20260101","4호선","성신여대입구(돈암)","11677","11481","20260104",""
"20260101","4호선","한성대입구(삼선교)","6534","6644","20260104",""
"20260101","4호선","혜화","21548","21513","20260104",""
"20260101","4호선","동대문","7687","7574","20260104",""
"20260101","4호선","동대문역사문화공원(DDP)","14215","11111","20260104",""
"20260101","4호선","충무로","12737","13893","20260104",""
"20260101","4호선","명동","34956","38121","20260104",""
"20260101","4호선","회현(남대문시장)","10668","10833","20260104",""
"20260101","4호선","서울역","5049","12676","20260104",""
"20260101","4호선","숙대입구(갈월)","6143","5907","20260104",""
"20260101","4호선","삼각지(전쟁기념관)","3265","3793","20260104",""
"20260101","4호선","신용산","11844","12495","20260104",""
"20260101","4호선","이촌(국립중앙박물관)","2636","2974","20260104",""
"20260101","4호선","동작(현충원)","960","1005","20260104",""
"20260101","4호선","총신대입구(이수)","7728","8579","20260104",""
"20260101","4호선","사당","11617","10560","20260104",""
"20260101","4호선","남태령","494","405","20260104",""
"20260101","5호선","방화","3578","3403","20260104",""
"20260101","5호선","개화산","2754","3058","20260104",""
"20260101","5호선","김포공항","10468","6542","20260104",""
"20260101","5호선","송정","3190","3232","20260104",""
"20260101","5호선","마곡","6208","6111","20260104",""
"20260101","5호선","발산","9357","9992","20260104",""
"20260101","5호선","우장산","5860","6377","20260104",""
"20260101","5호선","화곡","12025","11667","20260104",""
"20260101","5호선","까치산","12910","12956","20260104",""
"20260101","5호선","신정(은행정)","5541","5152","20260104",""
"20260101","5호선","목동","5876","6302","20260104",""
"20260101","5호선","오목교(목동운동장앞)","8067","8526","20260104",""
"20260101","5호선","양평","2323","2444","20260104",""
"20260101","5호선","영등포구청","1564","1535","20260104",""
"20260101","5호선","영등포시장","4839","4990","20260104",""
"20260101","5호선","신길","2428","2605","20260104",""
"20260101","5호선","여의도","6072","6589","20260104",""
"20260101","5호선","여의나루","5061","5380","20260104",""
"20260101","5호선","마포","4902","4778","20260104",""
"20260101","5호선","공덕","4216","4158","20260104",""
"20260101","5호선","애오개","2291","2346","20260104",""
"20260101","5호선","충정로(경기대입구)","1159","1235","20260104",""
"20260101","5호선","서대문","4523","4388","20260104",""
"20260101","5호선","광화문(세종문화회관)","15153","14264","20260104",""
"20260101","5호선","종로3가","9536","8804","20260104",""
"20260101","5호선","을지로4가","2062","2164","20260104",""
"20260101","5호선","동대문역사문화공원(DDP)","1166","1288","20260104",""
"20260101","5호선","청구","1320","1317","20260104",""
"20260101","5호선","신금호","2401","2703","20260104",""
"20260101","5호선","행당","3107","2978","20260104",""
"20260101","5호선","왕십리(성동구청)","2402","3115","20260104",""
"20260101","5호선","마장","2736","2653","20260104",""
"20260101","5호선","답십리","6155","5622","20260104",""
"20260101","5호선","장한평","7660","7739","20260104",""
"20260101","5호선","군자(능동)","5859","6459","20260104",""
"20260101","5호선","아차산(어린이대공원후문)","12186","11353","20260104",""
"20260101","5호선","광나루(장신대)","5554","5538","20260104",""
"20260101","5호선","천호(풍납토성)","10251","9651","20260104",""
"20260101","5호선","강동","7413","7277","20260104",""
"20260101","5호선","길동","4423","4445","20260104",""
"20260101","5호선","굽은다리(강동구민회관앞)","4973","5086","20260104",""
"20260101","5호선","명일","3167","3419","20260104",""
"20260101","5호선","고덕","3834","3957","20260104",""
"20260101","5호선","상일동","5101","5415","20260104",""
"20260101","5호선","둔촌동","5191","5099","20260104",""
"20260101","5호선","올림픽공원(한국체대)","1799","1572","20260104",""
"20260101","5호선","방이","2788","2744","20260104",""
"20260101","5호선","오금","1172","1177","20260104",""
"20260101","5호선","개롱","2201","2541","20260104",""
"20260101","5호선","거여","3533","3627","20260104",""
"20260101","5호선","마천","2491","2686","20260104",""
"20260101","5호선","강일","2433","2285","20260104",""
"20260101","5호선","미사","9102","9122","20260104",""
"20260101","5호선","하남풍산","2001","2084","20260104",""
"20260101","5호선","하남시청(덕풍·신장)","4040","3890","20260104",""
"20260101","5호선","하남검단산","4254","4139","20260104",""
"20260101","6호선","역촌","1807","2187","20260104",""
"20260101","6호선","불광","2683","2336","20260104",""
"20260101","6호선","독바위","1156","1341","20260104",""
"20260101","6호선","연신내","2","0","20260104",""
"20260101","6호선","구산","3277","2760","20260104",""
"20260101","6호선","새절(신사)","5077","5074","20260104",""
"20260101","6호선","증산(명지대앞)","4159","4445","20260104",""
"20260101","6호선","디지털미디어시티","4373","4906","20260104",""
"20260101","6호선","월드컵경기장(성산)","3511","3337","20260104",""
"20260101","6호선","마포구청","5856","5597","20260104",""
"20260101","6호선","망원","9825","10207","20260104",""
"20260101","6호선","합정","7825","6889","20260104",""
"20260101","6호선","상수","8834","6801","20260104",""
"20260101","6호선","광흥창(서강)","3174","3290","20260104",""
"20260101","6호선","대흥(서강대앞)","3168","3417","20260104",""
"20260101","6호선","공덕","6425","6475","20260104",""
"20260101","6호선","효창공원앞","2675","2488","20260104",""
"20260101","6호선","삼각지(전쟁기념관)","2855","2683","20260104",""
"20260101","6호선","녹사평(용산구청)","3034","2846","20260104",""
"20260101","6호선","이태원","13530","8304","20260104",""
"20260101","6호선","한강진","4752","5527","20260104",""
"20260101","6호선","버티고개","990","1057","20260104",""
"20260101","6호선","약수","1462","1479","20260104",""
"20260101","6호선","청구","1670","1534","20260104",""
"20260101","6호선","신당","4700","3854","20260104",""
"20260101","6호선","동묘앞","5564","5202","20260104",""
"20260101","6호선","창신","1393","1325","20260104",""
"20260101","6호선","보문","3202","3368","20260104",""
"20260101","6호선","안암(고대병원앞)","3990","4195","20260104",""
"20260101","6호선","고려대(종암)","3240","3319","20260104",""
"20260101","6호선","월곡(동덕여대)","4169","4321","20260104",""
"20260101","6호선","상월곡(한국과학기술연구원)","2907","2793","20260104",""
"20260101","6호선","돌곶이","5199","4838","20260104",""
"20260101","6호선","태릉입구","2775","2766","20260104",""
"20260101","6호선","화랑대(서울여대입구)","3661","3609","20260104",""
"20260101","6호선","봉화산(서울의료원)","2913","3114","20260104",""
"20260101","7호선","장암","983","617","20260104",""
"20260101","7호선","도봉산","3151","4574","20260104",""
"20260101","7호선","수락산","5697","5658","20260104",""
"20260101","7호선","마들","5635","5601","20260104",""
"20260101","7호선","노원","8943","9046","20260104",""
"20260101","7호선","중계","5316","5006","20260104",""
"20260101","7호선","하계","6860","6997","20260104",""
"20260101","7호선","공릉(서울과학기술대)","5409","5502","20260104",""
"20260101","7호선","태릉입구","3818","3668","20260104",""
"20260101","7호선","먹골","4515","4713","20260104",""
"20260101","7호선","중화","4565","4558","20260104",""
"20260101","7호선","상봉","8050","7772","20260104",""
"20260101","7호선","면목","6267","6294","20260104",""
"20260101","7호선","사가정","7092","7218","20260104",""
"20260101","7호선","용마산(용마폭포공원)","2785","3135","20260104",""
"20260101","7호선","중곡","4392","4258","20260104",""
"20260101","7호선","군자(능동)","7084","5534","20260104",""
"20260101","7호선","어린이대공원(세종대)","5627","5464","20260104",""
"20260101","7호선","건대입구","7559","7625","20260104",""
"20260101","7호선","자양(뚝섬한강공원)","5787","5570","20260104",""
"20260101","7호선","청담","5430","5602","20260104",""
"20260101","7호선","강남구청","3354","3592","20260104",""
"20260101","7호선","학동","4288","4271","20260104",""
"20260101","7호선","논현","4983","5150","20260104",""
"20260101","7호선","반포","2797","2750","20260104",""
"20260101","7호선","고속터미널","8704","5985","20260104",""
"20260101","7호선","내방","4267","4394","20260104",""
"20260101","7호선","이수","6936","6544","20260104",""
"20260101","7호선","남성","4415","4577","20260104",""
"20260101","7호선","숭실대입구(살피재)","4544","4910","20260104",""
"20260101","7호선","장승배기","3441","3610","20260104",""
"20260101","7호선","신대방삼거리","6167","6194","20260104",""
"20260101","7호선","보라매","2436","2545","20260104",""
"20260101","7호선","신풍","4690","4743","20260104",""
"20260101","7호선","대림(구로구청)","7455","7109","20260104",""
"20260101","7호선","남구로","5728","5959","20260104",""
"20260101","7호선","가산디지털단지","8663","7777","20260104",""
"20260101","7호선","철산","8450","8860","20260104",""
"20260101","7호선","광명사거리","9765","9807","20260104",""
"20260101","7호선","천왕","4059","4229","20260104",""
"20260101","7호선","온수(성공회대입구)","3125","3162","20260104",""
"20260101","8호선","암사역사공원","2480","2273","20260104",""
"20260101","8호선","암사","6918","6720","20260104",""
"20260101","8호선","천호(풍납토성)","8490","9388","20260104",""
"20260101","8호선","강동구청","3933","4089","20260104",""
"20260101","8호선","몽촌토성(평화의문)","4651","4626","20260104",""
"20260101","8호선","잠실(송파구청)","15605","16408","20260104",""
"20260101","8호선","석촌","4389","4763","20260104",""
"20260101","8호선","송파","4165","4303","20260104",""
"20260101","8호선","가락시장","3157","3380","20260104",""
"20260101","8호선","문정","4366","4508","20260104",""
"20260101","8호선","장지","7785","7721","20260104",""
"20260101","8호선","복정","3169","2833","20260104",""
