"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260301","4호선","남태령","1022","601","20260304",""
"20260301","5호선","방화","4291","4296","20260304",""
"20260301","5호선","개화산","3802","3820","20260304",""
"20260301","5호선","김포공항","12385","8022","20260304",""
"20260301","5호선","송정","4251","4112","20260304",""
"20260301","5호선","마곡","8358","8507","20260304",""
"20260301","5호선","발산","12458","13176","20260304",""
"20260301","5호선","우장산","8896","8899","20260304",""
"20260301","5호선","화곡","17724","16574","20260304",""
"20260301","5호선","까치산","18179","17398","20260304",""
"20260301","5호선","신정(은행정)","7844","6868","20260304",""
"20260301","5호선","목동","9280","9378","20260304",""
"20260301","5호선","오목교(목동운동장앞)","13180","13654","20260304",""
"20260301","5호선","양평","3756","3511","20260304",""
"20260301","5호선","영등포구청","2430","2276","20260304",""
"20260301","5호선","영등포시장","8134","8054","20260304",""
"20260301","5호선","신길","3117","3023","20260304",""
"20260301","5호선","여의도","11288","11464","20260304",""
"20260301","5호선","여의나루","12841","14621","20260304",""
"20260301","5호선","마포","6503","6488","20260304",""
"20260301","5호선","공덕","6606","6731","20260304",""
"20260301","5호선","애오개","3466","3356","20260304",""
"20260301","5호선","충정로(경기대입구)","1926","1845","20260304",""
"20260301","5호선","서대문","7585","7034","20260304",""
"20260301","5호선","광화문(세종문화회관)","24201","23072","20260304",""
"20260301","5호선","종로3가","14717","14300","20260304",""
"20260301","5호선","을지로4가","3444","3224","20260304",""
"20260301","5호선","동대문역사문화공원(DDP)","1407","1564","20260304",""
"20260301","5호선","신금호","3487","3807","20260304",""
"20260301","5호선","행당","4735","4254","20260304",""
"20260301","5호선","왕십리(성동구청)","3390","4188","20260304",""
"20260301","5호선","마장","3673","3524","20260304",""
"20260301","5호선","답십리","9344","8239","20260304",""
"20260301","5호선","장한평","10821","10443","20260304",""
"20260301","5호선","군자(능동)","8891","9996","20260304",""
"20260301","5호선","아차산(어린이대공원후문)","13206","12814","20260304",""
"20260301","5호선","광나루(장신대)","8603","8765","20260304",""
"20260301","5호선","천호(풍납토성)","17021","15724","20260304",""
"20260301","5호선","강동","10988","10451","20260304",""
"20260301","5호선","길동","5812","5806","20260304",""
"20260301","5호선","굽은다리(강동구민회관앞)","6817","6509","20260304",""
"20260301","5호선","명일","6012","5929","20260304",""
"20260301","5호선","고덕","5543","5563","20260304",""
"20260301","5호선","상일동","7839","7836","20260304",""
"20260301","5호선","둔촌동","9144","8730","20260304",""
"20260301","1호선","서울역","57900","56671","20260304",""
"20260301","5호선","올림픽공원(한국체대)","6604","7294","20260304",""
"20260301","5호선","방이","5464","5117","20260304",""
"20260301","5호선","오금","1820","1815","20260304",""
"20260301","5호선","개롱","3458","3662","20260304",""
"20260301","5호선","거여","5701","5471","20260304",""
"20260301","5호선","마천","4285","4300","20260304",""
"20260301","5호선","강일","3809","3501","20260304",""
"20260301","5호선","미사","12725","12828","20260304",""
"20260301","5호선","하남풍산","3467","3231","20260304",""
"20260301","5호선","하남시청(덕풍·신장)","6025","5665","20260304",""
"20260301","5호선","하남검단산","5984","6028","20260304",""
